artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,characteristic_id,artist_id,genre_id
Rebelion,0.170,0.532,176751,0.965,0.000,0.512,-3.589,0.314,134.752,0.185,0.667,6,0,201074,23453,
Rebelution,0.072,0.786,254959,0.598,0.002,0.109,-7.640,0.057,120.517,0.673,53.097,7,1,201075,23454,
Rebirth Brass Band,0.296,0.513,328289,0.692,0.336,0.386,-13.442,0.215,105.398,0.699,31.333,5,1,201076,23455,
Reckless 2X,0.225,0.779,119455,0.598,0.000,0.506,-5.251,0.050,82.512,0.819,5.000,9,1,201077,23456,
Reckless Kelly,0.284,0.462,202818,0.618,0.002,0.204,-8.116,0.051,113.770,0.639,50.667,9,1,201078,23457,
Recurve,0.008,0.632,481791,0.694,0.877,0.116,-6.684,0.059,134.006,0.536,0.000,7,0,201079,23458,
Recusant,0.242,0.550,227742,0.652,0.000,0.100,-8.702,0.153,130.061,0.556,0.000,11,1,201080,23459,
Red,0.070,0.359,276739,0.720,0.000,0.130,-6.864,0.059,128.401,0.163,52.200,11,0,201081,23460,
Red Callender Sextette,0.938,0.449,146160,0.229,0.000,0.102,-10.274,0.026,74.417,0.303,0.000,5,1,201082,23461,
Red Camp,0.858,0.465,214856,0.209,0.446,0.243,-20.017,0.031,90.587,0.554,0.000,7,1,201083,23462,
Red Carpet,0.050,0.721,302771,0.650,0.348,0.167,-7.399,0.069,129.962,0.356,1.667,7,1,201084,23463,
Red Cell,0.612,0.589,233933,0.483,0.000,0.161,-10.532,0.028,114.992,0.226,0.000,0,0,201085,23464,
Red Code,0.002,0.689,414302,0.466,0.805,0.075,-9.248,0.057,130.011,0.416,0.000,7,0,201086,23465,
Red Flag,0.009,0.705,372427,0.771,0.788,0.102,-11.908,0.044,121.994,0.681,37.000,2,1,201087,23466,
Red Foley,0.663,0.741,177305,0.394,0.007,0.137,-14.131,0.042,114.384,0.716,37.167,2,1,201088,23467,
Red Fox,0.569,0.590,150840,0.633,0.000,0.378,-8.473,0.349,87.858,0.725,39.000,11,0,201089,23468,
Red Garland,0.873,0.528,385775,0.182,0.569,0.120,-17.062,0.046,93.277,0.359,26.963,0,1,201090,23469,
Red Garland Quintet,0.861,0.512,522161,0.383,0.692,0.122,-11.370,0.046,109.302,0.457,10.583,5,0,201091,23470,
Red Garland Quintets,0.879,0.442,562800,0.316,0.070,0.302,-16.496,0.080,179.608,0.517,13.000,10,1,201092,23471,
Red Garland Trio,0.879,0.551,363823,0.206,0.583,0.124,-17.796,0.046,108.107,0.344,21.273,3,1,201093,23472,
Red Grammer,0.534,0.536,166173,0.206,0.000,0.096,-11.516,0.031,170.709,0.434,23.000,5,1,201094,23473,
Red Hot Chili Peppers,0.047,0.551,244307,0.818,0.073,0.180,-5.762,0.077,115.787,0.509,47.744,0,1,201095,23474,
Red House Painters,0.385,0.477,424297,0.336,0.015,0.151,-15.280,0.029,132.766,0.311,37.000,0,1,201096,23475,
Red Lorry Yellow Lorry,0.002,0.533,232940,0.862,0.909,0.089,-11.698,0.068,126.145,0.649,37.500,2,1,201097,23476,
Red Nichols & His Five Pennies,0.914,0.673,180830,0.244,0.580,0.087,-15.472,0.148,135.983,0.706,0.500,8,1,201098,23477,
Red Norvo,0.942,0.723,174755,0.256,0.204,0.166,-15.747,0.086,131.878,0.665,3.000,10,1,201099,23478,
