genre_name,genre_id,characteristic_id
deep hardtechno,872,175261
deep house,873,175262
deep idm,874,175263
deep indian pop,875,175264
deep latin alternative,876,175265
deep latin christian,877,175266
deep latin jazz,878,175267
deep liquid bass,879,175268
deep melodic hard rock,880,175269
deep melodic metalcore,881,175270
deep metalcore,882,175271
deep minimal techno,883,175272
deep motown,884,175273
deep new americana,885,175274
deep new wave,886,175275
deep norteno,887,175276
deep pop edm,888,175277
deep power-pop punk,889,175278
deep progressive house,890,175279
deep progressive trance,891,175280
deep psychobilly,892,175281
deep punk rock,893,175282
deep r&b,894,175283
deep ragga,895,175284
deep regional mexican,896,175285
deep smooth jazz,897,175286
deep soft rock,898,175287
deep soul house,899,175288
deep soundtrack,900,175289
deep southern soul,901,175290
deep southern trap,902,175291
deep talent show,903,175292
deep tech house,904,175293
deep techno,905,175294
deep tropical house,906,175295
deep underground hip hop,907,175296
deep uplifting trance,908,175297
deep vocal house,909,175298
delta blues,910,175299
dembow,911,175300
denpa-kei,912,175301
denton tx indie,913,175302
denver indie,914,175303
depressive black metal,915,175304
derby indie,916,175305
desert blues,917,175306
desi hip hop,918,175307
desi pop,919,175308
destroy techno,920,175309
detroit hip hop,921,175310
detroit house,922,175311
detroit rock,923,175312
detroit techno,924,175313
detroit trap,925,175314
detske pisnicky,926,175315
detskie pesni,927,175316
dfw rap,928,175317
dhrupad,929,175318
didgeridoo,930,175319
digital hardcore,931,175320
dinner jazz,932,175321
dirty south rap,933,175322
dirty texas rap,934,175323
disco,935,175324
disco house,936,175325
disney,937,175326
disney svenska,938,175327
diva house,939,175328
dixieland,940,175329
diy emo,941,175330
djent,942,175331
dmv rap,943,175332
dominican pop,944,175333
dong-yo,945,175334
doo-wop,946,175335
doom metal,947,175336
doomcore,948,175337
dortmund indie,949,175338
double drumming,950,175339
downtempo,951,175340
downtempo bass,952,175341
drama,953,175342
dream pop,954,175343
dream trance,955,175344
dreamgaze,956,175345
dreamo,957,175346
drift,958,175347
drill,959,175348
drill and bass,960,175349
drone,961,175350
